Job Title,Job Link,Prof Area,Company,Location,Work Type,Experience Required,Education Required,Salary Range,Posted On
Водитель грузового автомобиля,/ru/vacancy/voditel-kategorii-e-voditel-gruzovogo-avtomobilya~4761404,Транспорт и логистика,"Товарищество с ограниченной ответственностью ""NORD Production Group""","Карагандинская область, г. Темиртау",посменный,1 год стажа,техническое и профессиональное,от 230 000 тг.,Опубликовано 21.04.2025
"Санитар, санитарка","/ru/vacancy/sanitarka,-uborshchica-sanitar,-sanitarka~4761402",Медицина и фармацевтика,"Товарищество с ограниченной ответственностью ""Кардиохирургическая клиника ""Жүрек""","Жамбылская область, г. Тараз",неполный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 150 000 тг.,Опубликовано 21.04.2025
Учетчик,/ru/vacancy/uchetchik-sklada-gotovoi-produkcii-uchetchik~4761399,HR и секретариат,"Товарищество с ограниченной ответственностью ""NORD Production Group""","Карагандинская область, г. Темиртау",полный рабочий день,1 год стажа,техническое и профессиональное,от 150 000 тг.,Опубликовано 21.04.2025
"Санитар, санитарка","/ru/vacancy/sanitar,-sanitarka-kdl-sanitar,-sanitarka~4761396",Медицина и фармацевтика,"Государственное коммунального предприятие на праве хозяйственного ведения ""Мангистауская областная многопрофильная детская больница"" Управления здравоохранения Мангистауской области","Мангистауская область, г. Актау",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 110 000 до 120 000 тг.,Опубликовано 21.04.2025
Машинист крана (крановщик),/ru/vacancy/mashinist-kozlovogo-krana-mashinist-krana-(kranovshchik)~4761388,Транспорт и логистика,"Товарищество с ограниченной ответственностью ""NORD Production Group""","Карагандинская область, г. Темиртау",полный рабочий день,1 год стажа,техническое и профессиональное,от 250 000 тг.,Опубликовано 21.04.2025
Формовщик железобетонных изделий и конструкций,/ru/vacancy/formovshchik-zhelezobetonnykh-izdelii-i-konstrukcii~4761387,Производство,"Товарищество с ограниченной ответственностью ""NORD Production Group""","Карагандинская область, г. Темиртау",посменный,Без опыта работы,послесреднее,от 250 000 до 400 000 тг.,Опубликовано 21.04.2025
Слесарь по контрольно-измерительным приборам и автоматике,/ru/vacancy/slesar-po-kontrolno-izmeritelnym-priboram-i-avtomatike~4761385,Производство,"Товарищество с ограниченной ответственностью ""NORD Production Group""","Карагандинская область, г. Темиртау",полный рабочий день,1 год стажа,техническое и профессиональное,от 250 000 тг.,Опубликовано 21.04.2025
Мастер участка по обслуживанию высоковольтного оборудования и электромеханизмов,/ru/vacancy/master-kipia-i-elektrosluzhby-master-uchastka-po-obsluzhivaniyu-vysokovoltnogo-oborudovaniya-i-elektromekhanizmov~4761382,Энергетика,"Товарищество с ограниченной ответственностью ""NORD Production Group""","Карагандинская область, г. Темиртау",полный рабочий день,2 года стажа,высшее,от 300 000 тг.,Опубликовано 21.04.2025
Бухгалтер,/ru/vacancy/bukhgalter~4761380,Финансы и бухучет,"Товарищество с ограниченной ответственностью ""NORD Production Group""","Карагандинская область, г. Темиртау",полный рабочий день,3 года стажа,высшее,от 200 000 тг.,Опубликовано 21.04.2025
Лаборант (средней квалификации),/ru/vacancy/laborant-(srednei-kvalifikacii)~4761377,Производство,"Товарищество с ограниченной ответственностью ""NORD Production Group""","Карагандинская область, г. Темиртау",полный рабочий день,1 год стажа,техническое и профессиональное,от 200 000 тг.,Опубликовано 21.04.2025
