Job Title,Job Link,Prof Area,Company,Location,Work Type,Experience Required,Education Required,Salary Range,Posted On
Воспитатель,/ru/vacancy/vospitatel-vospitatel~4749511,Образование и воспитание,"Товарищество с ограниченной ответственностью ""Образовательный Партнер""","Костанайская область, г. Рудный",полный рабочий день,1 год стажа,техническое и профессиональное,от 150 000 до 170 000 тг.,Опубликовано 15.04.2025
"Заведующий детским садом (детскими яслями, яслями-садом)","/ru/vacancy/direktor-kgkp-yasli-sad-akbota-otdela-obrazovaniya-abaiskogo-raiona-upravleniya-obrazovaniya-karagandinskoi-oblasti-zaveduyushchii-detskim-sadom-(detskimi-yaslyami,-yaslyami-sadom)~4749510",Образование и воспитание,"Государственное учреждение ""Отдел образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район, с.Коксун",полный рабочий день,5 лет стажа,высшее,от 180 000 до 220 000 тг.,Опубликовано 15.04.2025
"Заведующий детским садом (детскими яслями, яслями-садом)","/ru/vacancy/direktor-yasli-sad-akku-otdela-obrazovaniya-abaiskogo-raiona-upravleniya-obrazovaniya-karagandinskoi-oblasti-zaveduyushchii-detskim-sadom-(detskimi-yaslyami,-yaslyami-sadom)~4749509",Образование и воспитание,"Государственное учреждение ""Отдел образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район, г.Абай",полный рабочий день,5 лет стажа,высшее,от 180 000 до 220 000 тг.,Опубликовано 15.04.2025
Директор школы (гимназии и лицея),/ru/vacancy/direktor-kgu-opornaya-shkola-resursnyi-centr-imeni-bauyrzhana-momyshuly-otdela-obrazovaniya-abaiskogo-raiona-upravleniya-obrazovaniya-karagandinskoi-oblasti-direktor-shkoly-(gimnazii-i-liceya)~4749508,Образование и воспитание,"Государственное учреждение ""Отдел образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район, п.Топар",полный рабочий день,5 лет стажа,высшее,от 220 000 до 270 000 тг.,Опубликовано 15.04.2025
Директор школы (гимназии и лицея),/ru/vacancy/direktor-kgu-kompleks-shkola-yasli-sad-akbulak-otdela-obrazovaniya-abaiskogo-raiona-upravleniya-obrazovaniya-karagandinskoi-oblasti-direktor-shkoly-(gimnazii-i-liceya)~4749507,Образование и воспитание,"Государственное учреждение ""Отдел образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район, с.Жартас",полный рабочий день,3 года стажа,высшее,от 220 000 до 270 000 тг.,Опубликовано 15.04.2025
Директор школы (гимназии и лицея),/ru/vacancy/direktor-kgu-karaganskaya-osnovnaya-srednyaya-shkola-otdela-obrazovaniya-abaiskogo-raiona-upravleniya-obrazovaniya-karagandinskoi-oblasti-direktor-shkoly-(gimnazii-i-liceya)~4749504,Образование и воспитание,"Государственное учреждение ""Отдел образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район, г.Абай",полный рабочий день,3 года стажа,высшее,от 180 000 до 220 000 тг.,Опубликовано 15.04.2025
Директор школы (гимназии и лицея),/ru/vacancy/direktor-kgu-obshcheobrazovatelnaya-shkola-№2-pri-ispravitelnom-uchrezhdenii-otdela-obrazovaniya-abaiskogo-raiona-upravleniya-obrazovaniya-karagandinskoi-oblasti-direktor-shkoly-(gimnazii-i-liceya)~4749502,Образование и воспитание,"Государственное учреждение ""Отдел образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район, г.Абай",полный рабочий день,5 лет стажа,высшее,от 180 000 до 220 000 тг.,Опубликовано 15.04.2025
Директор (заведующий) внешкольной организации,/ru/vacancy/direktor-kgu-centr-detsko-yunosheskogo-tvorchestva-otdela-obrazovaniya-abaiskogo-raiona-upravleniya-obrazovaniya-karagandinskoi-oblasti-direktor-(zaveduyushchii)-vneshkolnoi-organizacii~4749501,Образование и воспитание,"Государственное учреждение ""Отдел образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район, п.Топар",полный рабочий день,5 лет стажа,высшее,от 180 000 до 220 000 тг.,Опубликовано 15.04.2025
Директор школы (гимназии и лицея),/ru/vacancy/direktor-kgu-opornaya-shkola-resursnyi-centr-imeni-abaya-otdela-obrazovaniya-abaiskogo-raiona-upravleniya-obrazovaniya-karagandinskoi-oblasti-direktor-shkoly-(gimnazii-i-liceya)~4749500,Образование и воспитание,"Государственное учреждение ""Отдел образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район, п.Топар",полный рабочий день,5 лет стажа,высшее,от 200 000 до 220 000 тг.,Опубликовано 15.04.2025
Директор школы (гимназии и лицея),/ru/vacancy/direktor-kgu-toparskaya-obshcheobrazovatelnaya-shkola-otdela-obrazovaniya-abaiskogo-raiona-upravleniya-obrazovaniya-karagandinskoi-oblasti-direktor-shkoly-(gimnazii-i-liceya)~4749499,Образование и воспитание,"Государственное учреждение ""Отдел образования Абайского района"" управления образования Карагандинской области","Карагандинская область, Абайский район, с.Кулайгыр",полный рабочий день,5 лет стажа,высшее,от 200 000 до 220 000 тг.,Опубликовано 15.04.2025
Учитель начальных классов,/ru/vacancy/usitel-nachalnyz-klassov-uchitel-nachalnykh-klassov~4749492,Образование и воспитание,"Коммунального государственного учреждения ""Общеобразовательная школа №14 имени Максута Жылысбаева"" отдела образования Меркенского района управления образования акимата Жамбылской области""","Жамбылская область, Меркенский район, с.Костоган",полный рабочий день,Без опыта работы,высшее,от 180 000 до 200 000 тг.,Опубликовано 15.04.2025
Адвокат,/ru/vacancy/pomoshchnik-advokata-advokat~4749487,Юриспруденция,Житикаринская юридическая консультация Костанайской коллегии адвокатов,"Костанайская область, Житикаринский район, г.Житикара",N/A,Без опыта работы,общее среднее (с 1 по 11/12 классы),N/A,Опубликовано 15.04.2025
Бухгалтер,/ru/vacancy/materialnyi-bukhgalter-bukhgalter~4749480,Финансы и бухучет,"Товарищество с ограниченной ответственностью ""SMART-OIL""","г. Шымкент, Енбекшинский район",полный рабочий день,3 года стажа,высшее,от 300 000 тг.,Опубликовано 15.04.2025
Лаборант (средней квалификации),/ru/vacancy/zertkhanashy-laborant-(srednei-kvalifikacii)~4749454,Производство,"Коммунальное государственное учреждение ""Общеобразовательная школа № 6"" Отдела образования по городу Жанаозен Управления образования Мангистауской области","Мангистауская область, г. Жанаозен",полный рабочий день,1 год стажа,техническое и профессиональное,от 116 000 тг.,Опубликовано 15.04.2025
Бухгалтер,/ru/vacancy/bukhgalter-bukhgalter~4749445,Финансы и бухучет,"Государственное учреждение ""Департамент по чрезвычайным ситуациям Северо-Казахстанской области Министерства по чрезвычайным ситуациям Республики Казахстан""","Северо-Казахстанская область, г. Петропавловск",полный рабочий день,Без опыта работы,высшее,от 159 000 до 232 000 тг.,Опубликовано 15.04.2025
Юрист,/ru/vacancy/yurist~4749442,Юриспруденция,"Коммунальное государственное учреждение ""Центр трудовой мобильности по Костанайской области"" Управления координации занятости и социальных программ акимата Костанайской области","Костанайская область, г. Костанай",N/A,Без опыта работы,общее среднее (с 1 по 11/12 классы),N/A,Опубликовано 15.04.2025
Пожарный,/ru/vacancy/pozharnyi-pozharnyi~4749437,Безопасность и ЧС,"Государственное учреждение ""Департамент по чрезвычайным ситуациям Северо-Казахстанской области Министерства по чрезвычайным ситуациям Республики Казахстан""","Северо-Казахстанская область, г. Петропавловск",посменный,Без опыта работы,послесреднее,от 153 432 до 187 522 тг.,Опубликовано 15.04.2025
Кассир,/ru/vacancy/kassir-kontroler-kassir~4749431,Финансы и бухучет,"Филиал в городе Шымкент Акционерного общества ""Микрофинансовая организация ""KMF (КМФ)""","Туркестанская область, Жетысайский район, г.Жетысай",полный рабочий день,Без опыта работы,техническое и профессиональное,от 187 000 тг.,Опубликовано 15.04.2025
Воспитатель,/ru/vacancy/vospitatel-kazakhskikh-grupp-vospitatel~4749412,Образование и воспитание,"Государственное коммунальное казенное предприятие на праве оперативного управления ""Ясли-сад № 8 ""Акбобек"" Отдел образования по городу Жанаозен Управления образования Мангистауской области","Мангистауская область, г. Жанаозен",полный рабочий день,1 год стажа,техническое и профессиональное,от 85 000 до 120 000 тг.,Опубликовано 15.04.2025
Воспитатель,/ru/vacancy/vospitatel-kazakhskikh-grupp-vospitatel~4749412,Образование и воспитание,"Государственное коммунальное казенное предприятие на праве оперативного управления ""Ясли-сад № 8 ""Акбобек"" Отдел образования по городу Жанаозен Управления образования Мангистауской области","Мангистауская область, г. Жанаозен",полный рабочий день,1 год стажа,техническое и профессиональное,от 85 000 до 120 000 тг.,Опубликовано 15.04.2025
Дворник,/ru/vacancy/dvornik-dvornik~4749408,Профессии без квалификации,"Государственное коммунальное казенное предприятие на праве оперативного управления ""Ясли-сад № 8 ""Акбобек"" Отдел образования по городу Жанаозен Управления образования Мангистауской области","Мангистауская область, г. Жанаозен",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 до 96 000 тг.,Опубликовано 15.04.2025
Кассир банка,/ru/vacancy/zaveduyushchii-kassoi-kassir-banka~4749397,Финансы и бухучет,"Алматинский филиал акционерного общества ""Микрофинансовая организация ""KMF (КМФ)""","г. Алматы, Медеуский район",полный рабочий день,2 года стажа,техническое и профессиональное,от 200 000 тг.,Опубликовано 15.04.2025
Инженер-конструктор,/ru/vacancy/inzhener-konstruktor-inzhener-konstruktor~4749386,Производство,"Товарищество с ограниченной ответственностью ""Павлодарский завод ""ТЕМІРМАШ""","Павлодарская область, г. Павлодар",полный рабочий день,5 лет стажа,высшее,от 300 000 тг.,Опубликовано 15.04.2025
Рабочий по уборке территории,/ru/vacancy/uborshchica-rabochii-po-uborke-territorii~4749384,Профессии без квалификации,"Коммунальное государственное учреждение ""Общеобразовательная школа имени Дюйсенгали Толенова"" Отдела образования Махамбетского района Управления образования Атырауской области""","Атырауская область, Махамбетский район, с.Махамбет",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 90 000 до 95 000 тг.,Опубликовано 15.04.2025
Маляр по окраске автомобилей,/ru/vacancy/avtomalyar-malyar-po-okraske-avtomobilei~4749383,Транспорт и логистика,"Товарищество с ограниченной ответственностью ""Павлодарский завод ""ТЕМІРМАШ""","Павлодарская область, г. Павлодар",полный рабочий день,3 года стажа,общее среднее (с 1 по 11/12 классы),от 300 000 тг.,Опубликовано 15.04.2025
Мастер участка ремонта,/ru/vacancy/dlya-pensionera-master-uchastka-remonta~4749378,Производство,"Товарищество с ограниченной ответственностью ""QARASAT QAZAQSTAN""","Карагандинская область, г. Темиртау",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 90 000 до 170 000 тг.,Опубликовано 15.04.2025
Преподаватель музыкальной школы,/ru/vacancy/koncertmeister-prepodavatel-muzykalnoi-shkoly~4749364,Образование и воспитание,"Коммунальное государственное казенное предприятие ""Детская школа искуcств"" отдела образования Сарыкольcкого района"" Управления образования акимата Костанайской области","Костанайская область, Сарыкольский район, п.Сарыколь",неполный рабочий день,2 года стажа,техническое и профессиональное,от 100 000 тг.,Опубликовано 15.04.2025
Преподаватель музыкальной школы,/ru/vacancy/prepodavatel-kollektivnogo-muzicirovaniya-prepodavatel-muzykalnoi-shkoly~4749361,Образование и воспитание,"Коммунальное государственное казенное предприятие ""Детская школа искуcств"" отдела образования Сарыкольcкого района"" Управления образования акимата Костанайской области","Костанайская область, Сарыкольский район, п.Сарыколь",неполный рабочий день,2 года стажа,техническое и профессиональное,от 100 000 тг.,Опубликовано 15.04.2025
Уборщик на предприятиях питания,/ru/vacancy/tekhnichka-uborshchik-na-predpriyatiyakh-pitaniya~4749354,Профессии без квалификации,"Товарищество с ограниченной ответственностью ""Тәп-Тәтті""","г. Астана, район Есиль",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 195 000 до 250 000 тг.,Опубликовано 15.04.2025
Уборщик в промышленных помещениях,/ru/vacancy/tekhnichka-uborshchik-v-promyshlennykh-pomeshcheniyakh~4749352,Профессии без квалификации,"Товарищество с ограниченной ответственностью ""Тәп-Тәтті""","г. Астана, район Сарыарка",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 237 000 тг.,Опубликовано 15.04.2025
Агроном по защите растений,/ru/vacancy/gerbolog-agronom-po-zashchite-rastenii~4749351,Сельское хозяйство,"Атырауский областной филиал республиканского государственного учреждения ""Республиканский методический центр фитосанитарной диагностики и прогнозов"" Комитета государственной инспекции в агропромышленном комплексе Министерства сельского хозяйства Республики Казахстан","Атырауская область, г. Атырау",полный рабочий день,Без опыта работы,высшее,от 140 000 до 150 000 тг.,Опубликовано 15.04.2025
Тракторист,/ru/vacancy/mekhanizator-traktorist~4749345,Транспорт и логистика,"Товарищество с ограниченной ответственностью ""Бирлик""","Карагандинская область, Шетский район, п.С.Сейфуллин",полный рабочий день,Без опыта работы,послесреднее,от 200 000 до 400 000 тг.,Опубликовано 15.04.2025
Учитель изобразительного искусства,/ru/vacancy/prepodavatel-khudozhestvennogo-otdeleniya-uchitel-izobrazitelnogo-iskusstva~4749334,Образование и воспитание,"Коммунальное государственное казенное предприятие ""Детская школа искуcств"" отдела образования Сарыкольcкого района"" Управления образования акимата Костанайской области","Костанайская область, Сарыкольский район, п.Сарыколь",неполный рабочий день,2 года стажа,техническое и профессиональное,от 100 000 тг.,Опубликовано 15.04.2025
Охранник,/ru/vacancy/agent-po-bezopasnosti-okhrannik~4749323,Безопасность и ЧС,"Товарищество с ограниченной ответственностью ""Крендель""","Павлодарская область, г. Павлодар",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 130 000 тг.,Опубликовано 15.04.2025
Продавец продовольственных товаров,/ru/vacancy/prodavec-kassir-prodavec-prodovolstvennykh-tovarov~4749320,Торговля и складирование,"Товарищество с ограниченной ответственностью ""Крендель""","Павлодарская область, г.Павлодар",полный рабочий день,1 год стажа,послесреднее,от 190 000 до 220 000 тг.,Опубликовано 15.04.2025
Преподаватель музыкальной школы,/ru/vacancy/prepodavatel-teoreticheskikh-disciplin-na-muzykalnom-otdelenii-prepodavatel-muzykalnoi-shkoly~4749319,Образование и воспитание,"Коммунальное государственное казенное предприятие ""Детская школа искуcств"" отдела образования Сарыкольcкого района"" Управления образования акимата Костанайской области","Костанайская область, Сарыкольский район, п.Сарыколь",неполный рабочий день,2 года стажа,техническое и профессиональное,от 100 000 тг.,Опубликовано 15.04.2025
Комплектовщик,"/ru/vacancy/fasovshchicy-v-konditerskii-magazin-devushki,-zhenshchiny-komplektovshchik~4749318",Производство,"Товарищество с ограниченной ответственностью ""Крендель""","Павлодарская область, г. Павлодар",полный рабочий день,Без опыта работы,послесреднее,от 140 000 тг.,Опубликовано 15.04.2025
Преподаватели дополнительного образования,/ru/vacancy/pedagog-dop.obrazovaniya-prepodavateli-dopolnitelnogo-obrazovaniya~4749316,Образование и воспитание,"Коммунальное государственное учреждение ""Общеобразовательная средняя школа №77"" государственного учреждения ""Отдел образования города Актобе""","Актюбинская область, г.Актобе",полный рабочий день,Без опыта работы,высшее,от 85 000 тг.,Опубликовано 15.04.2025
Механик автотранспортных средств,/ru/vacancy/mekhanik-po-gidrosistemam-mekhanik-avtotransportnykh-sredstv~4749313,Производство,"Товарищество с ограниченной ответственностью ""КӘСІБИ ТАҢДАУ""","Атырауская область, Жылыойский район, г.Кульсары",вахтовый метод,5 лет стажа,техническое и профессиональное,от 115 000 тг.,Опубликовано 15.04.2025
Кондитер,/ru/vacancy/konditer-universal-konditer~4749312,Производство,"Товарищество с ограниченной ответственностью ""Крендель""","Павлодарская область, г. Павлодар",полный рабочий день,Без опыта работы,техническое и профессиональное,от 150 000 до 200 000 тг.,Опубликовано 15.04.2025
Электросварщик ручной сварки,/ru/vacancy/elektrosvarshchik-ruchnoi-svarki-mekhanizirovannyi-punkt-tekushchego-otcepochnogo-remonta-vagonov-st.zhanaaul-(mvrp)-vchd-13-karagandinskoe-ekspluatacionnoe-vagonnoe-depo-nod-4-(karagandinskoe-otdelenie-gp)-too-«ktzh-gruzovye-perevozki»-elektrosvarshchik-ruchnoi-svarki~4749308,N/A,"ФИЛИАЛ АКЦИОНЕРНОГО ОБЩЕСТВА ""НАЦИОНАЛЬНАЯ КОМПАНИЯ ""ҚАЗАҚСТАН ТЕМІР ЖОЛЫ"" - ""КАРАГАНДИНСКОЕ ЭКСПЛУАТАЦИОННОЕ ВАГОННОЕ ДЕПО""",Карагандинская область,полный рабочий день,2 года стажа,послесреднее,от 85 000 тг.,Опубликовано 15.04.2025
Инженер-программист,/ru/vacancy/razrobotka-maketa-po-inzhener-programmist~4749299,IT и телекоммуникации,"Общественный фонд ""Национально-этнографическое объединение ""Адырна""",г.Астана,N/A,Без опыта работы,общее среднее (с 1 по 11/12 классы),N/A,Опубликовано 15.04.2025
Техник-физик лаборант,/ru/vacancy/laborant-v-kabinet-fizikii-tekhnik-fizik-laborant~4749296,Наука и консалтинг,"Коммунальное государственное учреждение ""Средняя школа имени Шакарима отдела образования Кордайского района управления образования акимата Жамбылской области""","Жамбылская область, Кордайский район",неполный рабочий день,Без опыта работы,техническое и профессиональное,от 85 000 тг.,Опубликовано 15.04.2025
Учитель казахского языка и литературы,/ru/vacancy/kazak-tili-men-adebieti-panining-mugalimi-uchitel-kazakhskogo-yazyka-i-literatury~4749294,Образование и воспитание,"Коммунальное государственное учреждение ""Общеобразовательная школа № 6"" Отдела образования по городу Жанаозен Управления образования Мангистауской области","Мангистауская область, г. Жанаозен",полный рабочий день,1 год стажа,высшее,от 145 115 тг.,Опубликовано 15.04.2025
Воспитатель,/ru/vacancy/vospitatel-vospitatel~4749289,Образование и воспитание,"Коммунальное государственное учреждение «Центр поддержки детей, нуждающихся в специальных социальных услугах» управления образования области Абай","Область Абай, Бородулихинский район, с.Новая Шульба",посменный,Без опыта работы,техническое и профессиональное,от 117 508 до 168 122 тг.,Опубликовано 15.04.2025
Учитель истории,/ru/vacancy/tarikh-uchitel-istorii~4749278,Образование и воспитание,"Коммунальное государственное учреждение ""Общеобразовательная школа № 6"" Отдела образования по городу Жанаозен Управления образования Мангистауской области","Мангистауская область, г. Жанаозен",полный рабочий день,1 год стажа,высшее,от 145 115 тг.,Опубликовано 15.04.2025
Секретарь,/ru/vacancy/sekretar-sekretar~4749270,HR и секретариат,"Коммунальное государственное учреждение «Центр поддержки детей, нуждающихся в специальных социальных услугах» управления образования области Абай","Область Абай, Бородулихинский район, с.Новая Шульба",полный рабочий день,Без опыта работы,послесреднее,от 104 412 до 116 446 тг.,Опубликовано 15.04.2025
Уборщик в школах,"/ru/vacancy/0,5-uborshchik-v-shkolakh~4749263",Профессии без квалификации,"Коммунальное государственное учреждение ""Общеобразовательная средняя школа №77"" государственного учреждения ""Отдел образования города Актобе""","Актюбинская область, г. Актобе, район Астана",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 85 000 до 90 000 тг.,Опубликовано 15.04.2025
Риск-менеджер,/ru/vacancy/glavnyi-specialist-otdela-operacionnykh-riskov-departamenta-risk-menedzhmenta-risk-menedzher~4749243,Финансы и бухучет,"Акционерное общество ""Единый накопительный пенсионный фонд""","г. Алматы, Медеуский район",полный рабочий день,2 года стажа,высшее,от 275 000 тг.,Опубликовано 15.04.2025
Бухгалтер,/ru/vacancy/bukhgalter-bukhgalter~4749239,Финансы и бухучет,"Товарищество с ограниченной ответственностью ""Клиника ""Дау-Мед""","г. Шымкент, район Тұран",полный рабочий день,3 года стажа,высшее,от 250 000 тг.,Опубликовано 15.04.2025
Учитель начальных классов,/ru/vacancy/predshkolnoe-obrazovanie-uchitel-nachalnykh-klassov~4749237,Образование и воспитание,"Коммунальное государственное учреждение ""Общеобразовательная школа №22» отдела образования города Жезказгана управления образования области Ұлытау","Область Ұлытау, г.Жезказган",полный рабочий день,1 год стажа,техническое и профессиональное,от 90 000 до 150 000 тг.,Опубликовано 15.04.2025
Экономист,/ru/vacancy/ekonomist-ekonomist~4749231,Финансы и бухучет,"Товарищество с ограниченной ответственностью ""Клиника ""Дау-Мед""","г. Шымкент, район Тұран",полный рабочий день,3 года стажа,высшее,от 200 000 тг.,Опубликовано 15.04.2025
Инженер по охране труда и технике безопасности,"/ru/vacancy/vedushchii-inzhener-po-promyshlennoi-bezopasnosti-i-okhrane-truda,-go-i-chs-inzhener-po-okhrane-truda-i-tekhnike-bezopasnosti~4749228",Производство,Республиканское государственное предприятие на праве хозяйственного ведения «Жезказганредмет» Комитета промышленности Министерства промышленности и строительства Республики Казахстан,"Область Ұлытау, г.Жезказган",полный рабочий день,3 года стажа,высшее,от 335 908 до 425 797 тг.,Опубликовано 15.04.2025
Врач-стоматолог,/ru/vacancy/vrach-stomatolog-vrach-stomatolog~4749226,Медицина и фармацевтика,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Городская поликлиника № 2 управления здравоохранения акимата Жамбылской области""","Жамбылская область, г. Тараз",полный рабочий день,Без опыта работы,высшее,от 289 117 тг.,Опубликовано 15.04.2025
Водитель автомобиля,/ru/vacancy/voditel-dezinfektor-voditel-avtomobilya~4749225,Транспорт и логистика,"Частное медицинское учреждение ""Западно-Казахстанское областное объединение ""Дезинфекция""","Западно-Казахстанская область, г. Уральск",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 150 000 до 200 000 тг.,Опубликовано 15.04.2025
Заведующий лабораторией,/ru/vacancy/zaveduyushchii-khimicheskoi-laboratoriei-zaveduyushchii-laboratoriei~4749223,Производство,Республиканское государственное предприятие на праве хозяйственного ведения «Жезказганредмет» Комитета промышленности Министерства промышленности и строительства Республики Казахстан,"Область Ұлытау, г.Жезказган",полный рабочий день,3 года стажа,высшее,от 442 076 до 560 375 тг.,Опубликовано 15.04.2025
Врач-статистик,/ru/vacancy/vrach-statist-vrach-statistik~4749224,Медицина и фармацевтика,"Товарищество с ограниченной ответственностью ""Клиника ""Дау-Мед""","г. Шымкент, район Тұран",полный рабочий день,2 года стажа,высшее,от 200 000 тг.,Опубликовано 15.04.2025
Системный администратор,/ru/vacancy/specialist-po-informacionnoi-bezopasnosti-sistemnyi-administrator~4749221,IT и телекоммуникации,Республиканское государственное предприятие на праве хозяйственного ведения «Жезказганредмет» Комитета промышленности Министерства промышленности и строительства Республики Казахстан,"Область Ұлытау, г.Жезказган",полный рабочий день,2 года стажа,высшее,от 298 283 до 378 103 тг.,Опубликовано 15.04.2025
Главный технолог (обрабатывающая промышленность),"/ru/vacancy/glavnyi-tekhnolog-metallurgiya,-proizvodstvo-redkikh-metallov-glavnyi-tekhnolog-(obrabatyvayushchaya-promyshlennost)~4749219",Производство,Республиканское государственное предприятие на праве хозяйственного ведения «Жезказганредмет» Комитета промышленности Министерства промышленности и строительства Республики Казахстан,"Область Ұлытау, г.Жезказган",полный рабочий день,3 года стажа,высшее,от 484 790 до 614 520 тг.,Опубликовано 15.04.2025
Линейный рабочий,/ru/vacancy/rabochii-lineinyi-rabochii~4749217,Производство,"Товарищество с ограниченной ответственностью ""Строитель""","Область Жетісу, Коксуский район, с.Мукры",полный рабочий день,Без опыта работы,послесреднее,от 120 000 до 150 000 тг.,Опубликовано 15.04.2025
Заместитель директора предприятия,/ru/vacancy/zamestitel-direktora-po-socialnoi-rabote-zamestitel-direktora-predpriyatiya~4749214,Руководители,"Коммунальное государственное учреждение ""Центр социальной адаптации лиц, оказавшихся в трудной жизненной ситуации города Темиртау""","Карагандинская область, г. Темиртау",полный рабочий день,5 лет стажа,высшее,от 160 000 до 180 000 тг.,Опубликовано 15.04.2025
Помощник воспитателя,/ru/vacancy/pomoshchnik-vospitatelya-pomoshchnik-vospitatelya~4749207,Образование и воспитание,"Коммунальное государственное казенное предприятие ""Ясли-сад №27"" Управления образования города Алматы","г. Алматы, Ауэзовский район",полный рабочий день,Без опыта работы,техническое и профессиональное,от 90 000 до 110 000 тг.,Опубликовано 15.04.2025
Главная медицинская сестра (заместитель главного врача по сестринскому делу),/ru/vacancy/glavnaya-medsestra-glavnaya-medicinskaya-sestra-(zamestitel-glavnogo-vracha-po-sestrinskomu-delu)~4749206,Медицина и фармацевтика,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Областной центр крови"" при управлении здравоохранения Акмолинской области","Акмолинская область, г. Кокшетау",полный рабочий день,3 года стажа,техническое и профессиональное,от 250 000 до 288 000 тг.,Опубликовано 15.04.2025
Обвальщик мяса,/ru/vacancy/obvalshchik-myasa-obvalshchik-myasa~4749204,Производство,"Товарищество с ограниченной ответственностью ""Торгай Ет""","Костанайская область, г.Аркалык",полный рабочий день,Без опыта работы,общее среднее (с 1 по 11/12 классы),от 120 000 до 200 000 тг.,Опубликовано 15.04.2025
Учитель иностранного языка,/ru/vacancy/uchitel-angliiskogo-yazyka-uchitel-inostrannogo-yazyka~4749202,Образование и воспитание,Коммунальное государственное учреждение «Основная средняя школа №12» отдела образования Улытауского района управления образования области Ұлытау,"Область Ұлытау, Улытауский район, п.Актас",полный рабочий день,Без опыта работы,высшее,от 300 000 до 350 000 тг.,Опубликовано 15.04.2025
Учитель истории,/ru/vacancy/uchitael-istorii-uchitel-istorii~4749200,Образование и воспитание,Коммунальное государственное учреждение «Основная средняя школа №12» отдела образования Улытауского района управления образования области Ұлытау,"Область Ұлытау, Улытауский район, п.Актас",полный рабочий день,1 год стажа,высшее,от 200 000 до 300 000 тг.,Опубликовано 15.04.2025
Учитель математики (алгебра и геометрия),/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~4749196,Образование и воспитание,Коммунальное государственное учреждение «Основная средняя школа №12» отдела образования Улытауского района управления образования области Ұлытау,"Область Ұлытау, Улытауский район, п.Актас",полный рабочий день,1 год стажа,высшее,от 350 000 до 400 000 тг.,Опубликовано 15.04.2025
Учитель биологии,/ru/vacancy/biologiya-mugalimi-uchitel-biologii~4749195,Образование и воспитание,Коммунальное государственное учреждение «Основная средняя школа №12» отдела образования Улытауского района управления образования области Ұлытау,"Область Ұлытау, Улытауский район, п.Актас",полный рабочий день,Без опыта работы,высшее,от 150 000 до 200 000 тг.,Опубликовано 15.04.2025
Учитель химии,/ru/vacancy/khimiya-mugalim-uchitel-khimii~4749191,Образование и воспитание,Коммунальное государственное учреждение «Основная средняя школа №12» отдела образования Улытауского района управления образования области Ұлытау,"Область Ұлытау, Улытауский район, п.Актас",полный рабочий день,Без опыта работы,высшее,от 100 000 до 150 000 тг.,Опубликовано 15.04.2025
Специалист по закупкам,/ru/vacancy/glavnyi-specialist-otdela-planirovaniya-i-kontrolya-ispolneniya-zakupok-departamenta-zakupok-specialist-po-zakupkam~4749179,Финансы и бухучет,"Акционерное общество ""Единый накопительный пенсионный фонд""","г. Алматы, Медеуский район",полный рабочий день,2 года стажа,высшее,от 275 000 тг.,Опубликовано 15.04.2025
Рабочий склада,/ru/vacancy/rabochii-sklada-rabochii-sklada~4749178,Торговля и складирование,"Филиал товарищества с ограниченной ответственностью ""Дудар"" в г.Астане","г. Астана, район ""Байқоңыр""",полный рабочий день,Без опыта работы,техническое и профессиональное,от 200 000 до 220 000 тг.,Опубликовано 15.04.2025
Воспитатель,/ru/vacancy/vospitatel-vospitatel~4749177,Образование и воспитание,"Коммунальное государственное казенное предприятие ""Ясли-сад № 37 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области","Павлодарская область, г. Павлодар",полный рабочий день,1 год стажа,техническое и профессиональное,от 160 000 до 180 000 тг.,Опубликовано 15.04.2025
